Transactions,Clients,timeoutTime,sumTimeBeforeInfo,sumTimeAfterInfo,transactionTimeouts,connectionTimeouts,correctConnections,MeanTimeBeforeInfoGET,MeanTimeAfterInfoGET,StandardDeviationBeforeInfo,StandardDeviationAfterInfo
10,500,300,12164743,6582103,0,0,500,24329,13164,7579.29574564814,4495.173856482083
1,500,300,1093988,36460,0,0,489,2237,74,191.92706948213427,107.73114684249862
100,750,300,110943,42276,0,5904,3,36981,14092,28819.346956515168,23956.15269612381
10,750,300,39522596,28234771,0,0,750,52696,37646,12127.361543221179,6307.206988834281
1,750,300,1691237,127358,0,0,679,2490,187,453.5945325949157,284.1355310410861
100,1000,6002,75593,955,0,0,3,25197,318,863.0359204575439,148.3037423668061
100,1000,600,79100,927,0,1785,3,26366,309,7191.9939516103595,234.71898091121648
10,1000,600,117442321,90947861,0,0,1000,117442,90947,34127.262210731176,23456.154991813983
1,1000,600,2176017,405673,0,0,817,2663,496,743.3794455054565,719.5679259110984
1000,100,600,0,0,0,0,0,-1,-1,0.0,0.0
100,100,600,10321388,6212255,0,0,100,103213,62122,28426.26797523727,19914.867360843757
10,100,600,364697,28428,0,0,100,3646,284,495.87498424502115,403.1302519037736
1,100,600,205874,2390,0,0,99,2079,24,40.38564101261734,35.25620512760839
1000,10,600,1259564,717388,0,0,10,125956,71738,28599.335044717387,27973.23520796263
100,10,600,57560,9539,0,0,10,5756,953,375.7272947231808,370.4726710568541
10,10,600,23206,537,0,0,10,2320,53,66.24198064671678,25.317977802344327
1,10,600,20244,89,0,0,10,2024,8,3.7416573867739413,2.6457513110645907
1000,1,600,6229,1315,0,0,1,6229,1315,0.0,0.0
100,1,600,2598,188,0,0,1,2598,188,0.0,0.0
10,1,600,2093,28,0,0,1,2093,28,0.0,0.0
1,1,600,2034,13,0,0,1,2034,13,0.0,0.0
100,250,600,248015089,192903397,13420,0,250,992060,771613,240699.53089277097,201883.8312198379
10,250,600,1948997,783451,0,0,250,7795,3133,1356.471525687141,778.9499342063006
1,250,600,521018,5385,0,0,245,2126,21,59.67411499134277,13.0
100,500,600,279168,219794,0,1267,5,55833,43958,84766.35580228751,84234.26191877032
10,500,600,12003668,7528310,0,0,500,24007,15056,5054.459615033045,2680.0302237101732
1,500,600,1157792,22053,0,0,499,2320,44,263.66645596283195,69.15200647848188
10,750,600,40129310,28285170,0,0,750,53505,37713,12310.923645283485,6001.556881343374
1,750,600,1621679,109848,0,0,663,2445,165,383.13705119708794,216.0486056423415
100,1000,60,0,0,14416,9459,0,-1,-1,0.0,0.0
10,1000,60,131569455,105759154,4912,0,1000,131569,105759,23810.86779182985,22121.584708153256
1,1000,60,2723093,587989,0,0,910,2992,646,952.8368170888444,738.1856135146498
100,100,60,11217894,7292536,8240,0,100,112178,72925,27250.838005463243,21380.67365636546
10,100,60,415773,38305,0,0,100,4157,383,574.7460308692876,527.1157368168779
1,100,60,216947,5788,0,0,99,2191,58,124.1329931968129,102.53292154230269
100,10,60,57396,8647,0,0,10,5739,864,382.6042341637113,356.8823335498691
10,10,60,23348,556,0,0,10,2334,55,63.85138996137829,28.653097563788805
1,10,60,20237,91,0,0,10,2023,9,5.385164807134504,1.7320508075688772
100,1,60,2595,165,0,0,1,2595,165,0.0,0.0
10,1,60,2092,31,0,0,1,2092,31,0.0,0.0
1,1,60,2049,13,0,0,1,2049,13,0.0,0.0
100,250,60,1527164,1484650,13651,222,4,381791,371162,237182.59380274935,234416.9717213325
10,250,60,2186029,684795,0,0,250,8744,2739,1402.3266381267954,975.3358395957774
1,250,60,533053,13197,0,0,247,2158,53,76.4591394144611,48.67237409455183
10,500,60,12957344,7872446,0,0,500,25914,15744,5172.868933193649,2961.5252826879596
1,500,60,1097258,74525,0,0,477,2300,156,250.48153624568818,187.9468009836826
10,750,60,43675712,31379961,361,0,749,58312,41895,16548.223953041004,9426.139559756157
1,750,60,1797580,298600,0,85,660,2723,452,864.5432320017317,647.2410679182834
